,0,1,2,3
count,156283840.0,156283840.0,156283840.0,156283840.0
mean,0.42528820037841797,0.4938937723636627,-0.6254937648773193,0.9359268546104431
std,16.29241371154785,15.306905746459961,1.5939598083496094,0.05242951959371567
min,-69.99483489990234,-69.98961639404297,-15.761056900024414,0.7557836174964905
25%,-5.597412109375,-7.271230220794678,-1.621293544769287,0.9174721837043762
50%,-0.08089843392372131,-0.1401660144329071,-1.328277587890625,0.9550274014472961
75%,6.847988128662109,7.792284965515137,-0.24912093579769135,0.9714197516441345
max,69.9964370727539,69.97624969482422,8.530813217163086,0.9949926137924194
