run,tag,step,value
test/fps_per_sample/Car,test/fps_per_sample,353,14.3359375
test/fps_per_sample/Car,test/fps_per_sample,385,12.109375
test/fps_per_sample/Car,test/fps_per_sample,417,9.4296875
test/fps_per_sample/Car,test/fps_per_sample,449,9.515625
test/fps_per_sample/Cyclist,test/fps_per_sample,33,0.296875
test/fps_per_sample/Cyclist,test/fps_per_sample,65,0.0546875
test/fps_per_sample/Cyclist,test/fps_per_sample,97,0.34375
test/fps_per_sample/Cyclist,test/fps_per_sample,129,0.1953125
test/fps_per_sample/Cyclist,test/fps_per_sample,161,0.0859375
test/fps_per_sample/Cyclist,test/fps_per_sample,193,0.05859375
test/fps_per_sample/Cyclist,test/fps_per_sample,225,0.10546875
test/fps_per_sample/Cyclist,test/fps_per_sample,257,0.1953125
test/fps_per_sample/Cyclist,test/fps_per_sample,289,0.140625
test/fps_per_sample/Cyclist,test/fps_per_sample,321,0.16796875
test/fps_per_sample/Cyclist,test/fps_per_sample,353,0.0546875
test/fps_per_sample/Cyclist,test/fps_per_sample,385,0.1796875
test/fps_per_sample/Cyclist,test/fps_per_sample,417,0.16015625
test/fps_per_sample/Cyclist,test/fps_per_sample,449,0.46875
test/fps_per_sample/Pedestrian,test/fps_per_sample,33,1.79296875
test/fps_per_sample/Pedestrian,test/fps_per_sample,65,2.53125
test/fps_per_sample/Pedestrian,test/fps_per_sample,97,3.17578125
test/fps_per_sample/Pedestrian,test/fps_per_sample,129,3.64453125
test/fps_per_sample/Pedestrian,test/fps_per_sample,161,2.0234375
test/fps_per_sample/Pedestrian,test/fps_per_sample,193,5.78515625
test/fps_per_sample/Pedestrian,test/fps_per_sample,225,3.66796875
test/fps_per_sample/Pedestrian,test/fps_per_sample,257,5.83203125
test/fps_per_sample/Pedestrian,test/fps_per_sample,289,8.18359375
test/fps_per_sample/Pedestrian,test/fps_per_sample,321,2.15234375
test/fps_per_sample/Pedestrian,test/fps_per_sample,353,3.76953125
test/fps_per_sample/Pedestrian,test/fps_per_sample,385,2.4765625
test/fps_per_sample/Pedestrian,test/fps_per_sample,417,3.046875
test/fps_per_sample/Pedestrian,test/fps_per_sample,449,3.6171875
test/mAP_3d/Car,test/mAP_3d,33,89.50843048095703
test/mAP_3d/Car,test/mAP_3d,65,87.92124938964844
test/mAP_3d/Car,test/mAP_3d,97,81.1533432006836
test/mAP_3d/Car,test/mAP_3d,129,86.05168151855469
test/mAP_3d/Car,test/mAP_3d,161,88.52318572998047
test/mAP_3d/Car,test/mAP_3d,193,88.404296875
test/mAP_3d/Car,test/mAP_3d,225,84.76678466796875
test/mAP_3d/Car,test/mAP_3d,257,91.03479766845703
test/mAP_3d/Car,test/mAP_3d,289,90.23368072509766
test/mAP_3d/Car,test/mAP_3d,321,90.01787567138672
test/mAP_3d/Car,test/mAP_3d,353,84.44833374023438
test/mAP_3d/Car,test/mAP_3d,385,84.59345245361328
test/mAP_3d/Car,test/mAP_3d,417,85.50147247314453
test/mAP_3d/Car,test/mAP_3d,449,85.34405517578125
test/mAP_3d/Cyclist,test/mAP_3d,33,71.25
test/mAP_3d/Cyclist,test/mAP_3d,65,90.98039245605469
test/mAP_3d/Cyclist,test/mAP_3d,97,88.11188507080078
test/mAP_3d/Cyclist,test/mAP_3d,129,73.14814758300781
test/mAP_3d/Cyclist,test/mAP_3d,161,93.33333587646484
test/mAP_3d/Cyclist,test/mAP_3d,193,87.5
test/mAP_3d/Cyclist,test/mAP_3d,225,85.4607925415039
test/mAP_3d/Cyclist,test/mAP_3d,257,79.16353607177734
test/mAP_3d/Cyclist,test/mAP_3d,289,79.7964096069336
test/mAP_3d/Cyclist,test/mAP_3d,321,78.87806701660156
test/mAP_3d/Cyclist,test/mAP_3d,353,88.73626708984375
test/mAP_3d/Cyclist,test/mAP_3d,385,78.8696060180664
test/mAP_3d/Cyclist,test/mAP_3d,417,80.41111755371094
test/mAP_3d/Cyclist,test/mAP_3d,449,63.877044677734375
test/mAP_3d/Pedestrian,test/mAP_3d,33,42.4329833984375
test/mAP_3d/Pedestrian,test/mAP_3d,65,31.595949172973633
test/mAP_3d/Pedestrian,test/mAP_3d,97,35.202823638916016
test/mAP_3d/Pedestrian,test/mAP_3d,129,32.559471130371094
test/mAP_3d/Pedestrian,test/mAP_3d,161,39.838008880615234
test/mAP_3d/Pedestrian,test/mAP_3d,193,22.530229568481445
test/mAP_3d/Pedestrian,test/mAP_3d,225,42.089195251464844
test/mAP_3d/Pedestrian,test/mAP_3d,257,29.986270904541016
test/mAP_3d/Pedestrian,test/mAP_3d,289,26.519807815551758
test/mAP_3d/Pedestrian,test/mAP_3d,321,49.9370231628418
test/mAP_3d/Pedestrian,test/mAP_3d,353,41.29351806640625
test/mAP_3d/Pedestrian,test/mAP_3d,385,26.784494400024414
test/mAP_3d/Pedestrian,test/mAP_3d,417,39.323246002197266
test/mAP_3d/Pedestrian,test/mAP_3d,449,31.71865463256836
test/mAP_3d_R40/Car,test/mAP_3d_R40,33,85.10173797607422
test/mAP_3d_R40/Car,test/mAP_3d_R40,65,82.86497497558594
test/mAP_3d_R40/Car,test/mAP_3d_R40,97,79.53468322753906
test/mAP_3d_R40/Car,test/mAP_3d_R40,129,81.58902740478516
test/mAP_3d_R40/Car,test/mAP_3d_R40,161,85.96463775634766
test/mAP_3d_R40/Car,test/mAP_3d_R40,193,85.5399169921875
test/mAP_3d_R40/Car,test/mAP_3d_R40,225,83.56857299804688
test/mAP_3d_R40/Car,test/mAP_3d_R40,257,87.04242706298828
test/mAP_3d_R40/Car,test/mAP_3d_R40,289,85.63822937011719
test/mAP_3d_R40/Car,test/mAP_3d_R40,321,85.2148666381836
test/mAP_3d_R40/Car,test/mAP_3d_R40,353,79.11775970458984
test/mAP_3d_R40/Car,test/mAP_3d_R40,385,79.08452606201172
test/mAP_3d_R40/Car,test/mAP_3d_R40,417,82.22291564941406
test/mAP_3d_R40/Car,test/mAP_3d_R40,449,81.62271881103516
test/mAP_3d_R40/Cyclist,test/mAP_3d_R40,33,73.30318450927734
test/mAP_3d_R40/Cyclist,test/mAP_3d_R40,65,88.0732650756836
test/mAP_3d_R40/Cyclist,test/mAP_3d_R40,97,82.32353973388672
test/mAP_3d_R40/Cyclist,test/mAP_3d_R40,129,62.00770950317383
test/mAP_3d_R40/Cyclist,test/mAP_3d_R40,161,92.34805297851562
test/mAP_3d_R40/Cyclist,test/mAP_3d_R40,193,83.15092468261719
test/mAP_3d_R40/Cyclist,test/mAP_3d_R40,225,86.75836944580078
test/mAP_3d_R40/Cyclist,test/mAP_3d_R40,257,81.61321258544922
test/mAP_3d_R40/Cyclist,test/mAP_3d_R40,289,78.88070678710938
test/mAP_3d_R40/Cyclist,test/mAP_3d_R40,321,72.54502868652344
test/mAP_3d_R40/Cyclist,test/mAP_3d_R40,353,88.25251770019531
test/mAP_3d_R40/Cyclist,test/mAP_3d_R40,385,75.89312744140625
test/mAP_3d_R40/Cyclist,test/mAP_3d_R40,417,80.44654083251953
test/mAP_3d_R40/Cyclist,test/mAP_3d_R40,449,54.49784469604492
test/mAP_3d_R40/Pedestrian,test/mAP_3d_R40,33,35.61564254760742
test/mAP_3d_R40/Pedestrian,test/mAP_3d_R40,65,26.949527740478516
test/mAP_3d_R40/Pedestrian,test/mAP_3d_R40,97,32.31499481201172
test/mAP_3d_R40/Pedestrian,test/mAP_3d_R40,129,30.30917739868164
test/mAP_3d_R40/Pedestrian,test/mAP_3d_R40,161,27.42002296447754
test/mAP_3d_R40/Pedestrian,test/mAP_3d_R40,193,20.091346740722656
test/mAP_3d_R40/Pedestrian,test/mAP_3d_R40,225,28.948762893676758
test/mAP_3d_R40/Pedestrian,test/mAP_3d_R40,257,29.527297973632812
test/mAP_3d_R40/Pedestrian,test/mAP_3d_R40,289,18.343772888183594
test/mAP_3d_R40/Pedestrian,test/mAP_3d_R40,321,32.9022331237793
test/mAP_3d_R40/Pedestrian,test/mAP_3d_R40,353,29.484272003173828
test/mAP_3d_R40/Pedestrian,test/mAP_3d_R40,385,21.5258846282959
test/mAP_3d_R40/Pedestrian,test/mAP_3d_R40,417,35.725608825683594
test/mAP_3d_R40/Pedestrian,test/mAP_3d_R40,449,18.14440155029297
test/max_recall/Car,test/max_recall,33,0.6648879647254944
test/max_recall/Car,test/max_recall,65,0.6585106253623962
test/max_recall/Car,test/max_recall,97,0.6195995807647705
test/max_recall/Car,test/max_recall,129,0.670961320400238
test/max_recall/Car,test/max_recall,161,0.7308809161186218
test/max_recall/Car,test/max_recall,193,0.6455696225166321
test/max_recall/Car,test/max_recall,225,0.6185682415962219
test/max_recall/Car,test/max_recall,257,0.6677050590515137
test/max_recall/Car,test/max_recall,289,0.6676328778266907
test/max_recall/Car,test/max_recall,321,0.6747211813926697
test/max_recall/Car,test/max_recall,353,0.6585127115249634
test/max_recall/Car,test/max_recall,385,0.6687242984771729
test/max_recall/Car,test/max_recall,417,0.6454741358757019
test/max_recall/Car,test/max_recall,449,0.6309278607368469
test/max_recall/Cyclist,test/max_recall,33,0.28787878155708313
test/max_recall/Cyclist,test/max_recall,65,0.4313725531101227
test/max_recall/Cyclist,test/max_recall,97,0.46268656849861145
test/max_recall/Cyclist,test/max_recall,129,0.3333333432674408
test/max_recall/Cyclist,test/max_recall,161,0.4285714328289032
test/max_recall/Cyclist,test/max_recall,193,0.3404255211353302
test/max_recall/Cyclist,test/max_recall,225,0.5
test/max_recall/Cyclist,test/max_recall,257,0.4000000059604645
test/max_recall/Cyclist,test/max_recall,289,0.4852941036224365
test/max_recall/Cyclist,test/max_recall,321,0.3692307770252228
test/max_recall/Cyclist,test/max_recall,353,0.32203391194343567
test/max_recall/Cyclist,test/max_recall,385,0.43103447556495667
test/max_recall/Cyclist,test/max_recall,417,0.4923076927661896
test/max_recall/Cyclist,test/max_recall,449,0.4590163826942444
test/max_recall/Pedestrian,test/max_recall,33,0.31690141558647156
test/max_recall/Pedestrian,test/max_recall,65,0.3664921522140503
test/max_recall/Pedestrian,test/max_recall,97,0.5161290168762207
test/max_recall/Pedestrian,test/max_recall,129,0.5161290168762207
test/max_recall/Pedestrian,test/max_recall,161,0.4266666769981384
test/max_recall/Pedestrian,test/max_recall,193,0.44144144654273987
test/max_recall/Pedestrian,test/max_recall,225,0.4482758641242981
test/max_recall/Pedestrian,test/max_recall,257,0.4931506812572479
test/max_recall/Pedestrian,test/max_recall,289,0.3478260934352875
test/max_recall/Pedestrian,test/max_recall,321,0.37704917788505554
test/max_recall/Pedestrian,test/max_recall,353,0.44871795177459717
test/max_recall/Pedestrian,test/max_recall,385,0.46405228972435
test/max_recall/Pedestrian,test/max_recall,417,0.5542857050895691
test/max_recall/Pedestrian,test/max_recall,449,0.3840579688549042
test/num_gt_boxes/Car,test/num_gt_boxes,5,2.78125
test/num_gt_boxes/Car,test/num_gt_boxes,9,2.78125
test/num_gt_boxes/Car,test/num_gt_boxes,13,4.34375
test/num_gt_boxes/Car,test/num_gt_boxes,17,4.0
test/num_gt_boxes/Car,test/num_gt_boxes,21,3.34375
test/num_gt_boxes/Car,test/num_gt_boxes,25,4.65625
test/num_gt_boxes/Car,test/num_gt_boxes,29,4.125
test/num_gt_boxes/Car,test/num_gt_boxes,33,3.25
test/num_gt_boxes/Car,test/num_gt_boxes,37,3.375
test/num_gt_boxes/Car,test/num_gt_boxes,41,4.1875
test/num_gt_boxes/Car,test/num_gt_boxes,45,4.1875
test/num_gt_boxes/Car,test/num_gt_boxes,49,3.625
test/num_gt_boxes/Car,test/num_gt_boxes,53,4.03125
test/num_gt_boxes/Car,test/num_gt_boxes,57,2.5625
test/num_gt_boxes/Car,test/num_gt_boxes,61,2.71875
test/num_gt_boxes/Car,test/num_gt_boxes,65,4.6875
test/num_gt_boxes/Car,test/num_gt_boxes,69,4.1875
test/num_gt_boxes/Car,test/num_gt_boxes,73,4.03125
test/num_gt_boxes/Car,test/num_gt_boxes,77,3.5
test/num_gt_boxes/Car,test/num_gt_boxes,81,4.1875
test/num_gt_boxes/Car,test/num_gt_boxes,85,3.375
test/num_gt_boxes/Car,test/num_gt_boxes,89,2.96875
test/num_gt_boxes/Car,test/num_gt_boxes,93,3.90625
test/num_gt_boxes/Car,test/num_gt_boxes,97,3.5
test/num_gt_boxes/Car,test/num_gt_boxes,101,4.78125
test/num_gt_boxes/Car,test/num_gt_boxes,105,3.9375
test/num_gt_boxes/Car,test/num_gt_boxes,109,3.09375
test/num_gt_boxes/Car,test/num_gt_boxes,113,4.09375
test/num_gt_boxes/Car,test/num_gt_boxes,117,3.84375
test/num_gt_boxes/Car,test/num_gt_boxes,121,4.1875
test/num_gt_boxes/Car,test/num_gt_boxes,125,3.96875
test/num_gt_boxes/Car,test/num_gt_boxes,129,3.625
test/num_gt_boxes/Car,test/num_gt_boxes,133,4.15625
test/num_gt_boxes/Car,test/num_gt_boxes,137,4.53125
test/num_gt_boxes/Car,test/num_gt_boxes,141,4.625
test/num_gt_boxes/Car,test/num_gt_boxes,145,3.96875
test/num_gt_boxes/Car,test/num_gt_boxes,149,3.40625
test/num_gt_boxes/Car,test/num_gt_boxes,153,4.4375
test/num_gt_boxes/Car,test/num_gt_boxes,157,4.25
test/num_gt_boxes/Car,test/num_gt_boxes,161,2.90625
test/num_gt_boxes/Car,test/num_gt_boxes,165,3.84375
test/num_gt_boxes/Car,test/num_gt_boxes,169,3.34375
test/num_gt_boxes/Car,test/num_gt_boxes,173,3.46875
test/num_gt_boxes/Car,test/num_gt_boxes,177,3.625
test/num_gt_boxes/Car,test/num_gt_boxes,181,3.96875
test/num_gt_boxes/Car,test/num_gt_boxes,185,3.21875
test/num_gt_boxes/Car,test/num_gt_boxes,189,4.5625
test/num_gt_boxes/Car,test/num_gt_boxes,193,3.59375
test/num_gt_boxes/Car,test/num_gt_boxes,197,3.25
test/num_gt_boxes/Car,test/num_gt_boxes,201,3.0
test/num_gt_boxes/Car,test/num_gt_boxes,205,4.15625
test/num_gt_boxes/Car,test/num_gt_boxes,209,4.0
test/num_gt_boxes/Car,test/num_gt_boxes,213,3.75
test/num_gt_boxes/Car,test/num_gt_boxes,217,2.875
test/num_gt_boxes/Car,test/num_gt_boxes,221,2.9375
test/num_gt_boxes/Car,test/num_gt_boxes,225,3.96875
test/num_gt_boxes/Car,test/num_gt_boxes,229,4.15625
test/num_gt_boxes/Car,test/num_gt_boxes,233,3.875
test/num_gt_boxes/Car,test/num_gt_boxes,237,3.125
test/num_gt_boxes/Car,test/num_gt_boxes,241,4.5625
test/num_gt_boxes/Car,test/num_gt_boxes,245,4.28125
test/num_gt_boxes/Car,test/num_gt_boxes,249,3.65625
test/num_gt_boxes/Car,test/num_gt_boxes,253,3.03125
test/num_gt_boxes/Car,test/num_gt_boxes,257,3.40625
test/num_gt_boxes/Car,test/num_gt_boxes,261,4.1875
test/num_gt_boxes/Car,test/num_gt_boxes,265,4.5625
test/num_gt_boxes/Car,test/num_gt_boxes,269,5.40625
test/num_gt_boxes/Car,test/num_gt_boxes,273,3.84375
test/num_gt_boxes/Car,test/num_gt_boxes,277,3.9375
test/num_gt_boxes/Car,test/num_gt_boxes,281,2.9375
test/num_gt_boxes/Car,test/num_gt_boxes,285,4.5
test/num_gt_boxes/Car,test/num_gt_boxes,289,2.96875
test/num_gt_boxes/Car,test/num_gt_boxes,293,4.1875
test/num_gt_boxes/Car,test/num_gt_boxes,297,3.71875
test/num_gt_boxes/Car,test/num_gt_boxes,301,4.1875
test/num_gt_boxes/Car,test/num_gt_boxes,305,4.71875
test/num_gt_boxes/Car,test/num_gt_boxes,309,4.09375
test/num_gt_boxes/Car,test/num_gt_boxes,313,4.53125
test/num_gt_boxes/Car,test/num_gt_boxes,317,4.03125
test/num_gt_boxes/Car,test/num_gt_boxes,321,4.15625
test/num_gt_boxes/Car,test/num_gt_boxes,325,4.1875
test/num_gt_boxes/Car,test/num_gt_boxes,329,4.6875
test/num_gt_boxes/Car,test/num_gt_boxes,333,3.75
test/num_gt_boxes/Car,test/num_gt_boxes,337,3.03125
test/num_gt_boxes/Car,test/num_gt_boxes,341,3.84375
test/num_gt_boxes/Car,test/num_gt_boxes,345,3.84375
test/num_gt_boxes/Car,test/num_gt_boxes,349,3.96875
test/num_gt_boxes/Car,test/num_gt_boxes,353,4.625
test/num_gt_boxes/Car,test/num_gt_boxes,357,4.0625
test/num_gt_boxes/Car,test/num_gt_boxes,361,3.46875
test/num_gt_boxes/Car,test/num_gt_boxes,365,3.5
test/num_gt_boxes/Car,test/num_gt_boxes,369,3.5625
test/num_gt_boxes/Car,test/num_gt_boxes,373,4.03125
test/num_gt_boxes/Car,test/num_gt_boxes,377,3.8125
test/num_gt_boxes/Car,test/num_gt_boxes,381,4.46875
