itr,ip_score_fgs_car,ip_score_fgs_ped,ip_score_fgs_cyc
0,0.9691780205647492,0.8078654892578663,0.8425539372078799
1,0.9691780205647492,0.8078654892578663,0.8425539372078799
2,0.9691780205647492,0.8078654892578663,0.8425539372078799
3,0.9691780205647492,0.8078654892578663,0.8425539372078799
4,0.9691780205647492,0.8078654892578663,0.8425539372078799
5,0.9691780205647492,0.8078654892578663,0.8425539372078799
6,0.9691773937463375,0.8078636154687747,0.8425524545187997
7,0.9691767669279258,0.8078617416796832,0.8425509718297194
8,0.969176140109514,0.8078598678905915,0.8425494891406392
9,0.9691755132911023,0.8078579941014999,0.8425480064515589
10,0.9691742455803853,0.8078543265286926,0.8425465237624787
11,0.9691729778696685,0.8078506589558854,0.8425450410733986
12,0.9691717101589515,0.8078469913830781,0.8425435583843183
13,0.9691704424482346,0.8078433238102708,0.8425420756952381
14,0.9691685108817459,0.8078406327081618,0.8425364813844732
15,0.9691665793152573,0.8078379416060526,0.8425308870737083
16,0.9691646477487688,0.8078352505039436,0.8425252927629434
17,0.9691627161822801,0.8078325594018345,0.8425196984521786
18,0.969160154512516,0.8078298682997254,0.8425111102149349
19,0.9691575928427518,0.8078271771976163,0.8425025219776912
20,0.9691550311729877,0.8078244860955072,0.8424939337404476
21,0.9691524695032236,0.8078217949933981,0.8424853455032039
22,0.9691492353750151,0.8078142850345205,0.842473672526603
23,0.9691460012468065,0.8078067750756428,0.842461999550002
24,0.9691427671185979,0.807799265116765,0.8424503265734011
25,0.9691395329903894,0.8077917551578874,0.8424386535968003
26,0.9691356636591356,0.8077825030300183,0.8424241978483367
27,0.9691317943278819,0.8077732509021492,0.8424097420998731
28,0.9691279249966283,0.8077639987742802,0.8423952863514094
29,0.9691240556653745,0.8077547466464111,0.8423808306029458
30,0.9691195828652076,0.8077436315476578,0.8423635362643489
31,0.9691151100650408,0.8077325164489046,0.8423462419257521
32,0.9691106372648739,0.8077214013501514,0.8423289475871554
33,0.969106164464707,0.8077102862513981,0.8423116532485585
34,0.9691010428135396,0.807697453925841,0.8422915432006735
35,0.9690959211623722,0.807684621600284,0.8422714331527885
36,0.9690907995112049,0.8076717892747269,0.8422513231049036
37,0.9690856778600375,0.8076589569491699,0.8422312130570185
38,0.9690798840254039,0.8076442196055916,0.8422081307525
39,0.9690740901907703,0.8076294822620134,0.8421850484479816
40,0.9690682963561367,0.807614744918435,0.8421619661434632
41,0.969062502521503,0.8076000075748567,0.8421388838389446
42,0.9690560857248116,0.8075917294436977,0.8421129286205508
43,0.9690496689281202,0.8075834513125387,0.8420869734021569
44,0.9690432521314287,0.8075751731813797,0.842061018183763
45,0.9690368353347373,0.8075668950502208,0.8420350629653691
46,0.9690297682466626,0.8075586169190618,0.8420063063096951
47,0.9690227011585879,0.8075503387879028,0.8419775496540209
48,0.9690156340705133,0.8075420606567438,0.8419487929983469
49,0.9690085669824386,0.8075337825255848,0.8419200363426729
50,0.969000840670366,0.8075155071114777,0.8418881465866674
51,0.9689931143582933,0.8074972316973706,0.8418562568306621
52,0.9689853880462205,0.8074789562832636,0.8418243670746568
53,0.9689776617341478,0.8074606808691565,0.8417924773186514
54,0.9689692967539345,0.807440434905542,0.8417578837135828
55,0.9689609317737213,0.8074201889419275,0.8417232901085143
56,0.968952566793508,0.8073999429783129,0.8416886965034458
57,0.9689442018132948,0.8073796970146984,0.8416541028983773
58,0.9689352022262215,0.807357583904641,0.8416164576382459
59,0.9689262026391483,0.8073354707945835,0.8415788123781145
60,0.9689172030520752,0.807313357684526,0.8415411671179832
61,0.968908203465002,0.8072912445744685,0.8415035218578518
62,0.9688985609650106,0.8072671946164882,0.8414630306684191
63,0.9688889184650193,0.8072431446585078,0.8414225394789864
64,0.968879275965028,0.8072190947005273,0.8413820482895537
65,0.9688696334650366,0.807195044742547,0.8413415571001209
66,0.9688593549613157,0.8071693313699531,0.841298259364683
67,0.9688490764575948,0.807143617997359,0.8412549616292452
68,0.9688387979538738,0.807117904624765,0.8412116638938073
69,0.9688285194501529,0.807092191252171,0.8411683661583694
70,0.9688175918311238,0.8070646548406182,0.8411222988144265
71,0.9688066642120947,0.8070371184290653,0.8410762314704835
72,0.9687957365930656,0.8070095820175125,0.8410301641265405
73,0.9687848089740365,0.8069820456059597,0.8409840967825976
74,0.9687732299255246,0.8069523713873302,0.8409348169791103
75,0.9687616508770127,0.8069226971687009,0.8408855371756231
76,0.9687500718285009,0.8068930229500715,0.8408362573721359
77,0.968738492779989,0.806863348731442,0.8407869775686486
78,0.9687262756920945,0.8068320323089383,0.8407347248568522
79,0.9687140586041998,0.8068007158864345,0.8406824721450559
80,0.9687018415163052,0.8067693994639307,0.8406302194332596
81,0.9686896244284107,0.8067380830414269,0.8405779667214631
82,0.968676735770924,0.8067049450271229,0.8405225873455424
83,0.9686638471134372,0.8066718070128189,0.8404672079696216
84,0.9686509584559506,0.806638668998515,0.8404118285937009
85,0.9686380697984639,0.806605530984211,0.8403564492177802
86,0.9686245541447478,0.806570380561658,0.8402981965445326
87,0.9686110384910316,0.806535230139105,0.840239943871285
88,0.9685975228373154,0.806500079716552,0.8401816911980373
89,0.9685840071835993,0.806464929293999,0.8401234385247898
90,0.9685698241430111,0.8064279217228338,0.8400623432729852
91,0.968555641102423,0.8063909141516687,0.8400012480211808
92,0.9685414580618348,0.8063539065805037,0.8399401527693764
93,0.9685272750212466,0.8063168990093385,0.8398790575175719
94,0.9685124559517309,0.8062779791822803,0.839814832811189
95,0.9684976368822151,0.8062390593552222,0.8397506081048061
96,0.9684828178126994,0.8062001395281642,0.839686383398423
97,0.9684679987431837,0.806161219701106,0.8396221586920402
98,0.9684525133262011,0.8061204242832807,0.8395549818316626
99,0.9684370279092185,0.8060796288654553,0.839487804971285
100,0.9684215424922358,0.8060388334476299,0.8394206281109073
101,0.9684060570752532,0.8059980380298046,0.8393534512505297
102,0.9683899035949446,0.8059553142039034,0.8392831330221833
103,0.9683737501146359,0.8059125903780022,0.8392128147938369
104,0.9683575966343273,0.8058698665521011,0.8391424965654904
105,0.9683414431540187,0.8058271427261999,0.839072178337144
106,0.9683246376529537,0.8057824205127531,0.8389987245349335
107,0.9683078321518888,0.8057376982993062,0.838925270732723
108,0.9682910266508239,0.8056929760858593,0.8388518169305127
109,0.9682742211497589,0.8056482538724125,0.8387783631283022
110,0.9682567613393619,0.8056016856854828,0.8387020394470586
111,0.9682393015289648,0.8055551174985534,0.8386257157658148
112,0.9682218417185677,0.8055085493116239,0.8385493920845711
113,0.9682043819081707,0.8054619811246942,0.8384730684033275
114,0.9681862591540737,0.8054135552936483,0.8384333605997951
115,0.9681681363999769,0.8053651294626023,0.8383936527962627
116,0.96815001364588,0.8053167036315563,0.8383539449927302
117,0.9681318908917831,0.8052682778005104,0.8383142371891978
118,0.968113097566551,0.8052178683386054,0.8382745293856655
119,0.9680943042413188,0.8051674588767004,0.838234821582133
120,0.9680755109160867,0.8051170494147954,0.8381951137786006
121,0.9680567175908545,0.8050666399528905,0.8381554059750682
122,0.9680372489992012,0.8050144099257981,0.8380731025591722
123,0.9680177804075478,0.8049621798987057,0.8379907991432762
124,0.9679983118158946,0.8049099498716132,0.8379084957273801
125,0.9679788432242412,0.8048577198445208,0.8378261923114841
126,0.9679587030126335,0.8048035514161255,0.8377406333004104
127,0.967938562801026,0.8047493829877301,0.8376550742893367
128,0.9679184225894184,0.8046952145593349,0.837569515278263
129,0.9678982823778107,0.8046410461309396,0.8374839562671892
130,0.9678774176510875,0.804584934896557,0.8373952135858309
131,0.9678565529243642,0.8045288236621746,0.8373064709044726
132,0.967835688197641,0.8044727124277922,0.8372177282231145
133,0.9678148234709177,0.8044166011934096,0.8371289855417562
134,0.967793340141198,0.8043584352912798,0.8370830720165301
135,0.9677718568114781,0.80430026938915,0.8370371584913039
136,0.9677503734817583,0.8042421034870202,0.8369912449660777
137,0.9677288901520386,0.8041839375848904,0.8369453314408516
138,0.9677067134557941,0.8041236397444815,0.8368994179156255
139,0.9676845367595497,0.8040633419040726,0.8368535043903993
140,0.9676623600633052,0.8040030440636637,0.8368075908651731
141,0.9676401833670607,0.8039427462232549,0.836761677339947
142,0.9676173389469591,0.8038807698307966,0.836666818592323
143,0.9675944945268575,0.8038187934383383,0.8365719598446988
144,0.9675716501067558,0.8037568170458801,0.8364771010970747
145,0.9675488056866542,0.8036948406534218,0.8363822423494507
146,0.9675252802338504,0.8036306884288906,0.8362840810670187
147,0.9675017547810466,0.8035665362043596,0.8361859197845867
148,0.9674782293282428,0.8035023839798285,0.8360877585021546
149,0.967454703875439,0.8034382317552974,0.8359895972197225
150,0.9674305146722532,0.8033722195742538,0.8358884646064201
151,0.9674063254690672,0.80330620739321,0.8357873319931177
152,0.9673821362658814,0.8032401952121664,0.8356861993798153
153,0.9673579470626956,0.8031741830311228,0.8355850667665128
154,0.9673330571235778,0.8031062544177938,0.8354809345821718
155,0.9673081671844599,0.8030383258044649,0.8353768023978307
156,0.9672832772453421,0.802970397191136,0.8352726702134896
157,0.9672583873062243,0.8029024685778071,0.8351685380291486
158,0.9672327900519466,0.8028324904067226,0.8350609964086466
159,0.9672071927976689,0.8027625122356381,0.8349534547881446
160,0.9671815955433912,0.8026925340645537,0.8348459131676427
161,0.9671559982891136,0.8026225558934691,0.8347383715471407
162,0.9671296818922492,0.8025505931218848,0.8346829254489728
163,0.9671033654953849,0.8024786303503006,0.8346274793508051
164,0.9670770490985205,0.8024066675787165,0.8345720332526372
165,0.9670507327016562,0.8023347048071322,0.8345165871544693
166,0.9670237260213215,0.8022607230310639,0.8344611410563014
167,0.9669967193409866,0.8021867412549957,0.8344056949581335
168,0.9669697126606518,0.8021127594789274,0.8343502488599658
169,0.9669427059803171,0.802038777702859,0.8342948027617979
170,0.9669150036273182,0.8019627947524501,0.8341809517051106
171,0.9668873012743193,0.8018868118020411,0.8340671006484234
172,0.9668595989213205,0.8018108288516321,0.8339532495917361
173,0.9668318965683216,0.8017348459012232,0.8338393985350488
174,0.9668034662062835,0.8016568779248248,0.8337222501637518
175,0.9667750358442455,0.8015789099484264,0.8336051017924546
176,0.9667466054822075,0.801500941972028,0.8334879534211576
177,0.9667181751201694,0.8014229739956296,0.8333708050498605
178,0.966689053035565,0.8013430457359325,0.8332503321439653
179,0.9666599309509606,0.8012631174762355,0.8331298592380701
180,0.9666308088663562,0.8011831892165384,0.833009386332175
181,0.9666016867817517,0.8011032609568414,0.8328889134262798
182,0.9665718417444982,0.8010212945465949,0.8327655102128971
183,0.9665419967072446,0.8009393281363484,0.8326421069995145
184,0.9665121516699912,0.8008573617261019,0.8325187037861319
185,0.9664823066327376,0.8007753953158554,0.8323953005727492
186,0.9664517605664984,0.8006910899989605,0.832268482614594
187,0.9664212145002591,0.8006067846820657,0.8321416646564388
188,0.9663906684340199,0.8005224793651708,0.8320148466982835
189,0.9663601223677807,0.800438174048276,0.8318880287401282
190,0.9663288480245034,0.8003520012098216,0.8317582417924915
191,0.966297573681226,0.8002658283713673,0.8316284548448547
192,0.9662662993379486,0.8001796555329128,0.831498667897218
