,0,1,2,3
count,210273661.0,210273661.0,210273661.0,210273661.0
mean,0.4767373204231262,0.5940317511558533,-0.5789182782173157,0.25
std,16.4816951751709,14.417927742004395,1.5784883499145508,0.0
min,-69.99795532226562,-69.97476196289062,-16.893705368041992,0.25
25%,-5.50210428237915,-7.26785135269165,-1.6456451416015625,0.25
50%,-0.07696288824081421,-0.07304687052965164,-1.2490285634994507,0.25
75%,6.81619119644165,8.22305679321289,-0.17534759640693665,0.25
max,69.99836730957031,69.96965026855469,8.530760765075684,0.25
