,0,1,2,3
count,152617000.0,152617000.0,152617000.0,152617000.0
mean,0.30973324179649353,0.2320876270532608,-0.5771617293357849,0.9393330216407776
std,16.09022331237793,13.97702693939209,1.54900324344635,0.05061088874936104
min,-69.98626708984375,-69.99761199951172,-17.36992835998535,0.7557833790779114
25%,-5.432773113250732,-6.732324123382568,-1.6007822751998901,0.924789309501648
50%,-0.19029296934604645,-0.13550780713558197,-1.1338844895362854,0.9580990672111511
75%,6.509511470794678,7.712421894073486,-0.16363032907247543,0.9721371531486511
max,69.97413635253906,69.9842300415039,8.530838966369629,0.995385468006134
